Category: All categories

Week,Dengue: (Singapore),dengue fever: (Singapore),dengue symptoms: (Singapore)
2022-01-02,11,3,2
2022-01-09,13,2,4
2022-01-16,15,3,3
2022-01-23,18,3,2
2022-01-30,11,0,2
2022-02-06,16,1,1
2022-02-13,14,3,4
2022-02-20,14,2,1
2022-02-27,20,3,5
2022-03-06,22,3,4
2022-03-13,25,3,5
2022-03-20,23,5,5
2022-03-27,33,6,7
2022-04-03,27,4,4
2022-04-10,42,8,8
2022-04-17,57,5,9
2022-04-24,74,10,16
2022-05-01,58,6,13
2022-05-08,64,7,12
2022-05-15,100,12,25
2022-05-22,84,12,19
2022-05-29,86,12,24
2022-06-05,87,12,23
2022-06-12,90,13,22
2022-06-19,84,11,27
2022-06-26,83,17,22
2022-07-03,85,10,17
2022-07-10,74,10,22
2022-07-17,69,10,20
2022-07-24,68,7,18
2022-07-31,64,10,18
2022-08-07,55,10,16
2022-08-14,53,5,13
2022-08-21,45,6,9
2022-08-28,45,9,12
2022-09-04,44,10,13
2022-09-11,40,8,12
2022-09-18,40,6,8
2022-09-25,38,5,10
2022-10-02,32,5,8
2022-10-09,39,6,13
2022-10-16,33,7,11
2022-10-23,36,4,12
2022-10-30,29,6,5
2022-11-06,25,4,6
2022-11-13,24,2,7
2022-11-20,24,3,7
2022-11-27,18,4,3
2022-12-04,26,5,6
2022-12-11,28,3,8
2022-12-18,23,4,6
2022-12-25,22,4,8
